uid,species,latitude,longitude,EVI,NDVI,SAVI
2384,Grevillea,-0.4931587,37.1059798,1.1724015608371763,0.5657631954350927,0.8485237483953787
2445,Grevillea,-0.4931374,37.1055696,1.2284541723666211,0.5948989731699238,0.8922006954793841
1469,Musa,-0.4931093,37.1059271,1.1724015608371763,0.5657631954350927,0.8485237483953787
2385,Grevillea,-0.4931069,37.1060203,1.1724015608371763,0.5657631954350927,0.8485237483953787
1324,Musa,-0.4930979,37.1057803,1.0707269155206287,0.5411549516592631,0.8116263879817113
2614,Grevillea,-0.4930957,37.1059256,1.1724015608371763,0.5657631954350927,0.8485237483953787
1611,Eucalyptus,-0.4930901,37.1056369,1.0707269155206287,0.5411549516592631,0.8116263879817113
1468,Musa,-0.4930894,37.106045,1.1724015608371763,0.5657631954350927,0.8485237483953787
2513,Grevillea,-0.4930666,37.1054652,1.2284541723666211,0.5948989731699238,0.8922006954793841
1479,Musa,-0.493052,37.1061713,1.5782096208983754,0.6642531509788147,0.9962461455959244
1475,Musa,-0.4930283,37.1061357,1.1724015608371763,0.5657631954350927,0.8485237483953787
1612,Eucalyptus,-0.4930245,37.1055973,1.2284541723666211,0.5948989731699238,0.8922006954793841
1466,Musa,-0.4929989,37.10602,1.1724015608371763,0.5657631954350927,0.8485237483953787
1467,Musa,-0.4929738,37.106028,1.1724015608371763,0.5657631954350927,0.8485237483953787
3003,Eucalyptus,-0.4929675,37.1057756,1.0707269155206287,0.5411549516592631,0.8116263879817113
1471,Musa,-0.4929552,37.1060637,1.1724015608371763,0.5657631954350927,0.8485237483953787
1473,Musa,-0.4929097,37.1061758,1.5782096208983754,0.6642531509788147,0.9962461455959244
3001,Eucalyptus,-0.4929061,37.1058117,1.0707269155206287,0.5411549516592631,0.8116263879817113
2612,Grevillea,-0.49289,37.1056784,2.0068159688412854,0.7524644030668127,1.1284906004745392
2613,Grevillea,-0.492883,37.1057221,2.0068159688412854,0.7524644030668127,1.1284906004745392
2610,Grevillea,-0.4928394,37.1057624,2.0068159688412854,0.7524644030668127,1.1284906004745392
3002,Eucalyptus,-0.4928259,37.1055644,1.7315294737766846,0.7011739594450374,1.0515738929397118
2611,Grevillea,-0.4928196,37.1058894,2.0068159688412854,0.7524644030668127,1.1284906004745392
2198,Grevillea,-0.4927548,37.1059304,1.9238198253882408,0.7364685004436557,1.1045394055892355
3024,Eucalyptus,-0.4821312,37.1996972,1.6463374861391953,0.6995565410199557,1.0491894138838853
3022,Eucalyptus,-0.4820982,37.1997692,1.5833013751164193,0.6838618078561287,1.0256713592807287
3015,Eucalyptus,-0.482043,37.1994825,1.726404604617699,0.704336224149433,1.0563633938100319
3014,Eucalyptus,-0.4820191,37.1994663,1.726404604617699,0.704336224149433,1.0563633938100319
